date,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,pctChange,volume,openInterest,iv,itm,contractSize,Index
2023-07-14,F230714C00005000,2023-07-05 19:36:59+00:00,5.0,10.3,10.15,10.35,0.0,0.0,1,10,7.187501015625001,True,REGULAR,0
2023-07-14,F230714C00008000,2023-07-07 16:13:42+00:00,8.0,7.21,7.15,7.35,0.0,0.0,1,1,4.343754570312499,True,REGULAR,1
2023-07-14,F230714C00010000,2023-07-03 13:30:30+00:00,10.0,5.46,5.15,5.35,0.0,0.0,1,3,3.0000025,True,REGULAR,2
2023-07-14,F230714C00010500,2023-07-07 14:30:42+00:00,10.5,4.5,4.6,4.85,0.0,0.0,1,13,2.0625048437499998,True,REGULAR,3
2023-07-14,F230714C00011000,2023-07-12 14:28:57+00:00,11.0,4.35,4.15,4.35,0.27999973,6.8796,3,36,2.4062539843749997,True,REGULAR,4
2023-07-14,F230714C00011500,2023-07-12 19:17:15+00:00,11.5,3.8,3.65,3.85,0.06999993,1.8766738,2,59,2.1093797265624996,True,REGULAR,5
2023-07-14,F230714C00012000,2023-07-12 18:44:54+00:00,12.0,3.28,3.15,3.35,0.029999971,0.9230761,42,344,1.8437507812499998,True,REGULAR,6
2023-07-14,F230714C00012500,2023-07-12 18:41:13+00:00,12.5,2.79,2.67,2.81,0.059999943,2.1978,91,1222,1.46875265625,True,REGULAR,7
2023-07-14,F230714C00013000,2023-07-12 18:15:35+00:00,13.0,2.29,2.16,2.31,0.059999943,2.6905804,31,670,1.15625421875,True,REGULAR,8
2023-07-14,F230714C00013500,2023-07-12 19:55:02+00:00,13.5,1.75,1.67,1.81,0.03999996,2.339179,43,1391,0.9687503125,True,REGULAR,9
2023-07-14,F230714C00014000,2023-07-12 19:58:17+00:00,14.0,1.25,1.15,1.3,0.01999998,1.6260147,1342,6012,0.5625043750000001,True,REGULAR,10
2023-07-14,F230714C00014500,2023-07-12 19:55:33+00:00,14.5,0.8,0.7,0.78,0.050000012,6.6666684,358,7266,0.6562534375000001,True,REGULAR,11
2023-07-14,F230714C00015000,2023-07-12 19:58:01+00:00,15.0,0.29,0.28,0.3,-0.030000001,-9.375001,26233,14866,0.37500625,True,REGULAR,12
2023-07-14,F230714C00015500,2023-07-12 19:59:23+00:00,15.5,0.05,0.04,0.05,-0.029999997,-37.499996,20742,18112,0.3320379296875,False,REGULAR,13
2023-07-14,F230714C00016000,2023-07-12 19:59:23+00:00,16.0,0.01,0.01,0.02,-0.01,-50.0,683,7203,0.48438015625,False,REGULAR,14
2023-07-14,F230714C00016500,2023-07-12 19:22:22+00:00,16.5,0.01,0.0,0.01,0.0,0.0,40,2419,0.5312546875,False,REGULAR,15
2023-07-14,F230714C00017000,2023-07-10 13:30:29+00:00,17.0,0.01,0.0,0.01,0.0,0.0,15,1044,0.6875031250000001,False,REGULAR,16
2023-07-14,F230714C00017500,2023-07-12 14:07:05+00:00,17.5,0.01,0.0,0.01,0.0,0.0,50,498,0.87500125,False,REGULAR,17
2023-07-14,F230714C00018000,2023-07-11 16:18:20+00:00,18.0,0.01,0.0,0.01,0.0,0.0,1,88,1.000005,False,REGULAR,18
2023-07-14,F230714C00019000,2023-07-10 13:32:16+00:00,19.0,0.01,0.0,0.01,0.0,0.0,1,24,1.2500037499999999,False,REGULAR,19
