date,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,pctChange,volume,openInterest,iv,itm,contractSize,Index
2023-07-13,SPY230713C00375000,2023-07-12 14:33:33+00:00,375.0,72.26,71.3,71.35,7.970001,12.396954,6.0,2,1.6601579492187502,True,REGULAR,0
2023-07-13,SPY230713C00377000,2023-07-07 19:33:00+00:00,377.0,63.65,69.31,69.35,0.0,0.0,3.0,3,1.62109564453125,True,REGULAR,1
2023-07-13,SPY230713C00378000,2023-07-07 19:31:31+00:00,378.0,62.75,68.31,68.35,0.0,0.0,6.0,6,1.5996113769531248,True,REGULAR,2
2023-07-13,SPY230713C00380000,2023-07-12 14:17:39+00:00,380.0,67.29,66.31,66.36,3.5800018,5.619215,4.0,0,1.5585959570312498,True,REGULAR,3
2023-07-13,SPY230713C00390000,2023-06-30 13:34:35+00:00,390.0,52.44,56.32,56.36,0.0,0.0,2.0,2,1.3457063964843747,True,REGULAR,4
2023-07-13,SPY230713C00404000,2023-07-12 18:12:07+00:00,404.0,42.69,42.33,42.37,6.419998,17.700573,1.0,1,1.0488328808593752,True,REGULAR,5
2023-07-13,SPY230713C00405000,2023-07-12 17:30:46+00:00,405.0,41.47,41.33,41.37,4.41,11.899621,1.0,1,1.0263720556640625,True,REGULAR,6
2023-07-13,SPY230713C00407000,2023-07-12 19:29:43+00:00,407.0,38.83,39.33,39.38,5.7800026,17.48866,1.0,2,0.9863282617187501,True,REGULAR,7
2023-07-13,SPY230713C00409000,2023-07-12 17:51:53+00:00,409.0,37.47,37.33,37.38,6.840002,22.331057,1.0,2,0.9423833886718749,True,REGULAR,8
2023-07-13,SPY230713C00410000,2023-07-12 20:02:34+00:00,410.0,36.31,36.33,36.38,6.0300007,19.914137,8.0,4,0.91992267578125,True,REGULAR,9
2023-07-13,SPY230713C00411000,2023-07-12 18:03:20+00:00,411.0,35.3,35.33,35.38,5.7199993,19.337387,5.0,3,0.8984385156249999,True,REGULAR,10
2023-07-13,SPY230713C00413000,2023-07-12 14:42:31+00:00,413.0,34.48,33.37,33.42,6.8500004,24.791895,1.0,7,0.8740246972656249,True,REGULAR,11
2023-07-13,SPY230713C00414000,2023-07-12 17:47:00+00:00,414.0,32.43,32.34,32.38,5.4400005,20.155615,4.0,7,0.8349625878906248,True,REGULAR,12
2023-07-13,SPY230713C00415000,2023-07-10 19:46:01+00:00,415.0,24.25,31.34,31.38,0.0,0.0,9.0,14,0.813478427734375,True,REGULAR,13
2023-07-13,SPY230713C00416000,2023-07-12 19:29:43+00:00,416.0,29.84,30.34,30.38,7.5699997,33.991917,5.0,9,0.79101771484375,True,REGULAR,14
2023-07-13,SPY230713C00417000,2023-07-12 16:19:02+00:00,417.0,28.43,29.34,29.39,7.0699997,33.09925,5.0,11,0.77148666015625,True,REGULAR,15
2023-07-13,SPY230713C00418000,2023-07-12 18:28:17+00:00,418.0,28.84,28.34,28.39,7.6800003,36.2949,2.0,28,0.7490259472656251,True,REGULAR,16
2023-07-13,SPY230713C00419000,2023-07-12 13:34:22+00:00,419.0,27.68,27.34,27.39,6.800001,32.56706,2.0,8,0.726565234375,True,REGULAR,17
2023-07-13,SPY230713C00420000,2023-07-12 20:02:34+00:00,420.0,26.32,26.34,26.39,3.5299988,15.489243,37.0,84,0.7041045214843751,True,REGULAR,18
2023-07-13,SPY230713C00421000,2023-07-10 16:50:19+00:00,421.0,18.29,25.34,25.39,0.0,0.0,3.0,4,0.6816438085937502,True,REGULAR,19
2023-07-13,SPY230713C00422000,2023-07-12 14:43:28+00:00,422.0,25.47,24.35,24.43,7.58,42.37004,11.0,22,0.6689486230468751,True,REGULAR,20
2023-07-13,SPY230713C00423000,2023-07-11 14:16:02+00:00,423.0,24.1,23.35,23.39,7.210001,42.68799,1.0,12,0.63867548828125,True,REGULAR,21
2023-07-13,SPY230713C00424000,2023-07-12 15:40:26+00:00,424.0,21.56,22.35,22.44,2.7199993,14.437364,2.0,22,0.6254920263671876,True,REGULAR,22
2023-07-13,SPY230713C00425000,2023-07-12 19:56:01+00:00,425.0,20.95,21.35,21.4,3.3700008,19.169516,7.0,21,0.5952188916015625,True,REGULAR,23
2023-07-13,SPY230713C00426000,2023-07-12 16:51:37+00:00,426.0,20.26,20.35,20.4,5.41,36.430977,4.0,31,0.5722699023437501,True,REGULAR,24
2023-07-13,SPY230713C00427000,2023-07-12 16:45:09+00:00,427.0,18.95,19.35,19.4,3.0500011,19.182398,6.0,148,0.5493209130859377,True,REGULAR,25
2023-07-13,SPY230713C00428000,2023-07-12 19:32:09+00:00,428.0,18.01,18.36,18.4,5.2800007,41.476833,29.0,64,0.5278367529296876,True,REGULAR,26
2023-07-13,SPY230713C00429000,2023-07-12 19:57:41+00:00,429.0,16.93,17.36,17.44,3.3200006,24.393835,21.0,52,0.5107470800781251,True,REGULAR,27
2023-07-13,SPY230713C00430000,2023-07-12 18:29:03+00:00,430.0,16.91,16.36,16.4,4.3199997,34.312943,131.0,118,0.48730981445312505,True,REGULAR,28
